,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,chunskiy,99,RU,1580229963,91,6.96,56.08,99.63,1.32
1,torbay,90,CA,1580229963,95,34.0,47.67,-52.73,5.82
2,qaanaaq,96,GL,1580229964,80,-11.74,77.48,-69.36,2.01
3,moose factory,90,CA,1580229964,84,3.2,51.26,-80.61,8.05
4,murdochville,100,CA,1580229964,89,11.86,48.96,-65.5,6.58
5,vitim,20,RU,1580229965,84,-2.24,59.45,112.56,2.35
6,sitka,90,US,1580229966,95,35.6,57.05,-135.33,10.29
7,tiksi,97,RU,1580229967,87,-23.21,71.69,128.87,4.18
8,ancud,75,CL,1580229967,42,62.6,-41.87,-73.82,12.75
9,vysokogornyy,3,RU,1580229967,91,0.1,50.12,139.15,2.57
10,hermanus,3,ZA,1580229967,83,73.0,-34.42,19.23,8.99
11,ushuaia,75,AR,1580229715,81,48.2,-54.8,-68.3,27.51
12,porto novo,79,BJ,1580229967,66,86.0,6.5,2.6,10.29
13,matara,22,LK,1580229968,86,72.37,5.95,80.54,8.5
14,hofn,89,IS,1580229968,73,38.71,64.25,-15.21,19.86
15,campbell river,90,CA,1580229968,100,41.0,50.02,-125.24,3.36
16,mar del plata,11,AR,1580229968,33,84.99,-38.0,-57.56,4.0
17,flin flon,90,CA,1580229921,92,10.4,54.77,-101.86,6.93
18,tuktoyaktuk,40,CA,1580229968,74,-23.8,69.45,-133.04,12.75
19,punta arenas,20,CL,1580229841,50,53.6,-53.15,-70.92,33.33
20,watsa,90,CD,1580229969,41,70.84,3.04,29.54,2.35
21,ganzhou,41,CN,1580229969,78,36.03,28.82,115.43,3.8
22,severo-kurilsk,58,RU,1580229969,94,22.28,50.68,156.12,6.51
23,talnakh,75,RU,1580229969,78,10.4,69.49,88.4,15.66
24,teya,91,RU,1580229969,96,17.71,60.38,92.63,2.84
25,hithadhoo,64,MV,1580229773,78,81.79,-0.6,73.08,12.64
26,dikson,56,RU,1580229969,98,-13.85,73.51,80.55,12.35
27,yellowknife,90,CA,1580229860,84,1.99,62.46,-114.35,5.82
28,silvania,75,BR,1580229895,78,82.4,-16.66,-48.61,9.17
29,rikitea,100,PF,1580229970,79,79.0,-23.12,-134.97,11.34
30,zlobin,75,HR,1580229970,87,55.99,45.29,14.65,13.87
31,magdagachi,0,RU,1580229970,85,-1.52,53.45,125.8,5.41
32,bredasdorp,0,ZA,1580229970,56,73.4,-34.53,20.04,11.65
33,cape town,5,ZA,1580229884,57,77.0,-33.93,18.42,16.11
34,albany,90,US,1580229770,59,37.99,42.6,-73.97,14.99
35,tezu,0,IN,1580229971,57,51.51,27.92,96.17,3.58
36,leshukonskoye,99,RU,1580229971,99,-3.28,64.9,45.76,4.76
37,portland,90,US,1580229864,81,48.2,45.52,-122.68,9.17
38,sao joao da barra,20,BR,1580229971,59,89.6,-21.64,-41.05,9.17
39,celestun,0,MX,1580229971,79,74.26,20.87,-90.4,7.96
40,port-gentil,20,GA,1580229971,79,87.8,-0.72,8.78,9.17
41,hobart,40,AU,1580229907,67,63.0,-42.88,147.33,9.17
42,mbandaka,54,CD,1580229971,33,81.66,0.05,18.26,2.28
43,santiago,40,CL,1580229957,28,91.0,-33.46,-70.65,5.82
44,cherskiy,100,RU,1580229972,97,-22.32,68.75,161.3,10.16
45,jamestown,90,US,1580229972,86,34.0,42.1,-79.24,11.41
46,pisco,90,PE,1580229972,30,75.0,-13.7,-76.22,5.82
47,thompson,90,CA,1580229972,92,12.2,55.74,-97.86,2.24
48,lavrentiya,0,RU,1580229972,78,-12.44,65.58,-171.0,7.16
49,leningradskiy,94,RU,1580229972,91,-11.38,69.38,178.42,9.28
50,rocha,0,UY,1580229972,19,86.72,-34.48,-54.33,10.18
51,tasiilaq,100,GL,1580229973,90,24.26,65.61,-37.64,5.73
52,mataura,100,NZ,1580229973,84,57.0,-46.19,168.86,1.01
53,aksarka,97,RU,1580229973,96,-10.59,66.56,67.8,5.97
54,cidreira,12,BR,1580229795,72,74.88,-30.18,-50.21,13.6
55,mahebourg,75,MU,1580229973,69,77.0,-20.41,57.7,4.81
56,lake havasu city,1,US,1580229861,37,57.99,34.48,-114.32,4.38
57,bengkulu,100,ID,1580229973,90,76.12,-3.8,102.27,4.14
58,atuona,1,PF,1580229973,79,80.98,-9.8,-139.03,15.19
59,mareeba,90,AU,1580229974,100,78.01,-17.0,145.43,8.05
60,gamba,94,GA,1580229974,85,80.13,-2.65,10.0,4.56
61,port alfred,0,ZA,1580229974,70,71.01,-33.59,26.89,5.01
62,labuan,75,MY,1580229974,83,82.4,5.28,115.24,8.05
63,avarua,18,CK,1580229974,88,78.8,-21.21,-159.78,2.24
64,upernavik,100,GL,1580229974,90,-12.66,72.79,-56.15,4.59
65,vuktyl,100,RU,1580229974,96,-16.71,63.86,57.31,6.46
66,cananea,0,MX,1580229975,47,51.01,30.95,-110.3,2.57
67,geraldton,40,AU,1580229975,88,69.8,-28.77,114.6,12.75
68,kahului,1,US,1580229975,82,71.6,20.89,-156.47,4.7
69,clyde river,20,CA,1580229975,75,-20.2,70.47,-68.59,16.11
70,poum,100,NC,1580229975,81,79.38,-20.23,164.02,17.22
71,kaitangata,100,NZ,1580229975,89,57.67,-46.28,169.85,11.77
72,pevek,100,RU,1580229976,96,-0.35,69.7,170.31,7.92
73,longyearbyen,83,SJ,1580229976,64,1.4,78.22,15.64,10.29
74,chuy,0,UY,1580229894,37,80.42,-33.7,-53.46,6.58
75,salta,40,AR,1580229976,69,84.2,-24.79,-65.41,4.7
76,mormugao,43,IN,1580229976,78,78.8,15.4,73.8,5.82
77,norman wells,75,CA,1580229976,74,-25.6,65.28,-126.83,2.24
78,cap malheureux,75,MU,1580229976,69,77.0,-19.98,57.61,8.03
79,ponta do sol,20,PT,1580229977,55,66.2,32.67,-17.1,8.05
80,shache,48,CN,1580229977,64,24.24,38.42,77.24,4.0
81,bluff,86,NZ,1580229977,84,57.0,-46.6,168.33,1.01
82,dhidhdhoo,96,MV,1580229977,67,81.97,6.88,73.1,8.37
83,sambava,93,MG,1580229977,83,74.97,-14.27,50.17,1.21
84,barrow,40,US,1580229977,67,-25.6,71.29,-156.79,3.49
85,san cristobal,40,VE,1580229978,74,82.4,7.77,-72.22,8.05
86,beipiao,100,CN,1580229978,83,13.42,41.79,120.78,15.84
87,harper,89,LR,1580229978,81,80.89,4.38,-7.72,4.36
